"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"65","3.7405987977981567","3.739377021789551","3.7418813705444336","6336","6336","6336","3.746888756752014","3.742725372314453","3.749507427215576","6336","6336","6336","3.6026474237442017","3.6010243892669678","3.604062080383301","2574","2574","2574"
"66","3.7430891394615173","3.7424912452697754","3.74375581741333","6432","6432","6432","3.749919593334198","3.746048927307129","3.7521400451660156","6432","6432","6432","3.603372097015381","3.601358413696289","3.6048216819763184","2613","2613","2613"
"67","3.7458303570747375","3.7448058128356934","3.7473816871643066","6528","6528","6528","3.753239154815674","3.7492992877960205","3.755190372467041","6528","6528","6528","3.6042426228523254","3.6021931171417236","3.605757713317871","2652","2652","2652"
"68","3.748683989048004","3.7481887340545654","3.7495484352111816","6624","6624","6624","3.7562544345855713","3.752262592315674","3.7584242820739746","6624","6624","6624","3.604997754096985","3.6028952598571777","3.606733798980713","2691","2691","2691"
"69","3.75188809633255","3.7507128715515137","3.753241539001465","6720","6720","6720","3.759425163269043","3.7558672428131104","3.761138439178467","6720","6720","6720","3.605982184410095","3.6039633750915527","3.607530117034912","2730","2730","2730"
"70","3.7544944286346436","3.752854108810425","3.7565038204193115","6816","6816","6816","3.7626026272773743","3.758892297744751","3.76481032371521","6816","6816","6816","3.6068031787872314","3.60487961769104","3.60845685005188","2769","2769","2769"
"71","3.7565410137176514","3.754697561264038","3.7589004039764404","6912","6912","6912","3.766048014163971","3.762256622314453","3.7675819396972656","6912","6912","6912","3.6076817512512207","3.605668067932129","3.6091222763061523","2808","2808","2808"
"72","3.759316086769104","3.7571887969970703","3.7613744735717773","7008","7008","7008","3.768712043762207","3.7640514373779297","3.7707111835479736","7008","7008","7008","3.608554720878601","3.606485366821289","3.6099369525909424","2847","2847","2847"
"73","3.762026071548462","3.75875186920166","3.763932466506958","7104","7104","7104","3.7716381549835205","3.767697811126709","3.7735586166381836","7104","7104","7104","3.609541952610016","3.6075730323791504","3.6109304428100586","2886","2886","2886"
"74","3.764419734477997","3.761765480041504","3.7664504051208496","7200","7200","7200","3.77509081363678","3.7708187103271484","3.777071952819824","7200","7200","7200","3.610682725906372","3.6089651584625244","3.611793041229248","2925","2925","2925"
